0-29,30-59,60+,title_text
1.3287,1.8143,2.3139,Grocery store
1.6671,2.5347,3.1774,Grocery store
0.93883,1.403,2.2723,Grocery store
3.4961,1.5201,0.87384,Gym_Health Club
1.3967,1.1324,0.9251,Gym_Health Club
0.35455,0.4085,0.59055,Gym_Health Club
1.7777,3.7554,2.6436,Hospital_Health Center
3.4507,8.4206,6.5183,Hospital_Health Center
1.0726,2.8783,2.4144,Hospital_Health Center
6.9053,25.888,7.8645,Office Bldg_Bank
23.787,93.645,28.532,Office Bldg_Bank
3.1909,12.599,3.8464,Office Bldg_Bank
3.9104,6.7846,8.0745,Other place
6.234,11.859,14.78,Other place
3.2761,6.5263,9.0628,Other place
4.7679,7.5531,6.2882,Other store_mall
6.9402,12.364,10.77,Other store_mall
2.5514,4.7557,4.6048,Other store_mall
0.046093,0.058828,0.062546,Other transportation
0.054054,0.14872,0.1272,Other transportation
0.025377,0.056168,0.087476,Other transportation
0.34678,0.19948,0.47389,Personal Services Laundry_Beauty
0.18329,0.32683,0.43895,Personal Services Laundry_Beauty
0.19228,0.19383,0.58777,Personal Services Laundry_Beauty
1.3965,1.3078,1.9103,Place of worship
1.2017,1.4298,2.2696,Place of worship
0.77509,1.0022,2.102,Place of worship
2.7834,2.6751,1.2509,Public Bldg_Library_Post Office
2.4581,3.0005,1.1895,Public Bldg_Library_Post Office
0.50754,0.52526,0.2755,Public Bldg_Library_Post Office
3.353,11.373,3.8279,Respondents workplace
10.45,37.371,12.749,Respondents workplace
1.5531,5.6297,1.9652,Respondents workplace
6.7543,8.5835,6.2105,Restaurant or bar
7.887,10.583,8.0064,Restaurant or bar
2.5199,3.5354,2.9619,Restaurant or bar
169.63,24.475,8.4176,School
22.489,4.7605,1.7154,School
3.4154,0.75749,0.28223,School
